input_bps,output_bps,jitter_ms,loss_pct,rtt_avg_ms
5000,5018.13,0.966,0,8.597
10000,9649.38,2.135,3.85,11.484
20000,20072.94,1.725,0,10.054
35000,34741.09,2.14,1.1,15.129
50000,50181.39,2.305,0,16.659
75000,74433.2,1.421,1.03,21.622
100000,99590.79,1.485,0.39,27.187
125000,123524.6,1.725,1.23,29.016
150000,147723.34,1.751,1.54,27.179
175000,168033.45,1.806,3.96,61.994
200000,178579.03,5.173,5.02,72.198
225000,178350.02,11.672,4.97,430.095
250000,179418.82,16.359,4.17,691.817
275000,180312.1,20.354,3.79,1216.775
300000,180176.22,24.782,3.47,1522.294
